Pb_ID,Date,Pb_target,Pb_signal_ID,Familiarity,HR_overlap,consort_dyad,SRI,consort_male,max_consort_length,consort_nb,male_cumul_strength,mal_strength,fem_strength,fem_repro,Resp_yn,Resp_time,Resp_dur,Orientation_delta,Orientation_yn,Dist_avoid,Dist_approach,Grp_size,Grp_resp,Join_yn,Resp_cat
1,2024-03-26,Female 1,URC,17,1.727047807,0.222222222,0.0390625,0.387341772,61,70,0.987609364,2.969952494,2.84271254,0,Y,3,28,90,Y,32,0,2,100,1,Avoid
2,2024-03-26,Female 2,PAS,27,0.634535019,0.074074074,0.007692308,0.383685801,31,69,0.757451947,3.956673352,2.11999678,0,N,NA,0,0,N,0,0,4,33,0,No_resp
3,2024-03-27,Female 3,NAT,11,1.433308087,0,0.011111111,0.316725979,28,61,0.779030234,3.511733163,2.815148212,0,Y,3,19,170,Y,0,10,1,NA,1,Approach
4,2024-03-28,Female 3,DNG,10,1.124063451,0.5,0.022222222,0.393939394,19,46,0.516955379,3.144365214,2.815148212,0,Y,0,6,100,Y,0,0,1,NA,1,Neutral
5,2024-03-28,Female 1,PON,17,1.169701522,0.111111111,0.03125,0.428985507,31,79,0.80381608,4.456681366,2.84271254,0,Y,1,4,0,N,6,0,2,100,0,Avoid
6,2024-03-28,Female 4,MOG,22,0.743098213,0,0.01369863,0.428057554,16,74,0.74142612,3.508843873,1.784484964,1,Y,2,54,180,Y,0,16,1,NA,0,Approach
7,2024-03-28,Female 5,BIG,24,0.636243958,0.222222222,0.037735849,0.496710526,30,86,0.970740581,3.4675108,1.814316577,0,Y,2,42,70,Y,46,0,3,100,1,Avoid
8,2024-03-30,Female 6,COO,11,0.741482914,0.0625,0,0.35334873,61,73,0.961835301,2.952679708,1.141811743,1,Y,2,27,180,Y,0,2,2,100,0,Approach
9,2024-03-30,Female 4,DEE,13,0.762303265,0,0,0.445205479,20,85,0.730647261,3.727527591,1.784484964,1,Y,1,11,0,N,18,0,3,100,0,Avoid
10,2024-03-30,Female 1,NAT,11,1.045797502,0.111111111,0.046875,0.316725979,28,61,0.779030234,3.511733163,2.84271254,0,Y,4,14,180,Y,0,0,7,100,0,Neutral
11,2024-04-01,Female 5,URC,29,0.324474093,0,0,0.387341772,61,70,0.987609364,2.969952494,1.814316577,0,Y,2,4,45,Y,0,0,2,100,0,Neutral
12,2024-04-01,Female 7,MOG,6,0.540179647,0.2,0,0.428057554,16,74,0.74142612,3.508843873,0.855212856,1,N,NA,0,0,N,0,0,2,0,0,No_resp
13,2024-04-06,Female 2,BIG,10,0.592129392,0,0.007692308,0.496710526,30,86,0.970740581,3.4675108,2.11999678,0,Y,2,20,45,Y,8,0,2,100,0,Avoid
14,2024-04-08,Female 2,SMO,30,1.432093219,0.592592593,0.1,0.307517084,33,65,1,2.588729699,2.11999678,0,N,NA,0,0,N,0,0,4,0,1,No_resp
15,2024-04-09,Female 3,SMO,17,1.610528627,0,0.011111111,0.307517084,33,65,1,2.588729699,2.815148212,0,Y,1,15,0,N,24,0,2,100,0,Avoid
16,2024-04-09,Female 5,PON,24,0.672327039,0,0,0.428985507,31,79,0.80381608,4.456681366,1.814316577,0,N,NA,0,0,N,0,0,1,NA,0,No_resp
17,2024-04-09,Female 6,PON,10,0.741644048,0,0,0.428985507,31,79,0.80381608,4.456681366,1.141811743,1,Y,2,33,180,Y,6,0,4,100,0,Avoid
18,2024-04-10,Female 4,SMO,25,1.500359282,0.24,0.054794521,0.307517084,33,65,1,2.588729699,1.784484964,1,Y,6,39,180,Y,12,0,7,100,0,Avoid
19,2024-08-06,Female 7,RID,6,0.388691639,0,0,0.505119454,30,83,1,3.678163217,0.855212856,1,Y,2,90,100,Y,174,0,3,100,0,Avoid
20,2024-08-06,Female 8,COO,11,1.271670589,0.4,0.04,0.35334873,61,73,0.961835301,2.952679708,1.844722667,1,Y,1,30,180,Y,0,20,1,NA,0,Approach
